Nodes,3, Interval,30, EverageDelay,0+240.945967+240.924771, TotalpktRecvd,0+2874+2865, TotalpktSent,0+3285+3289
Nodes,7, Interval,30, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,30, EverageDelay,0+542.706169+542.625433+542.905648+542.877896+++542.575389+542.655929, TotalpktRecvd,0+654+569+594+544+0+0+582+529, TotalpktSent,0+958+953+955+956+957+958+956+958
Nodes,31, Interval,30, EverageDelay,0+695.681395++694.270608+697.119481+700.922484+695.741174+700.946918+695.008500+695.806564+696.487092+695.197631+699.346521+695.002813+694.934237+695.504475++, TotalpktRecvd,0+132+0+141+117+116+111+101+102+141+100+115+97+107+98+97+0+0, TotalpktSent,0+238+0+239+239+239+240+241+242+241+242+242+242+242+246+244+0+0
Nodes,3, Interval,35, EverageDelay,0+275.882623+275.876976, TotalpktRecvd,0+2460+2454, TotalpktSent,0+2822+2817
Nodes,7, Interval,35, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,35, EverageDelay,0+587.429614+587.455085+587.423718+587.305444+587.219860+587.271638+587.595016+587.243725, TotalpktRecvd,0+1606+1518+1509+1392+1487+1453+1397+1292, TotalpktSent,0+2383+2388+2382+2383+2385+2386+2388+2389
Nodes,31, Interval,35, EverageDelay,0+777.184910++777.173344+777.134416+777.143194+777.121384+777.126645+777.044868+777.153430+777.218382+777.256843+777.204778+777.214240+777.123994+777.220915++, TotalpktRecvd,0+1141+0+1104+1002+1091+980+1141+1129+1129+1078+1048+1005+1009+897+1042+0+0, TotalpktSent,0+2147+0+2150+2150+2151+2153+2151+2151+2152+2158+2154+2158+2156+2154+2157+0+0
Nodes,3, Interval,40, EverageDelay,0+311.699898+311.938214, TotalpktRecvd,0+2155+2136, TotalpktSent,0+2467+2464
Nodes,7, Interval,40, EverageDelay,0++++, TotalpktRecvd,0+0+0+0+0, TotalpktSent,0+0+0+0+0
Nodes,15, Interval,40, EverageDelay,0+702.419739+702.615366+702.868788+702.663874+702.237682+702.388402+702.296424+702.774894, TotalpktRecvd,0+1332+1235+1042+1158+1316+1253+1233+1139, TotalpktSent,0+2089+2087+2087+2092+2081+2086+2092+2087
Nodes,31, Interval,40, EverageDelay,0+823.964537++824.041458+823.683941+823.949594+823.645615+823.882083+823.995666+823.924483+823.919231+823.799316+823.893735+823.840019+823.864297+823.976115++, TotalpktRecvd,0+1108+0+1110+995+999+956+957+864+967+890+884+941+849+832+904+0+0, TotalpktSent,0+1882+0+1883+1881+1879+1884+1883+1883+1884+1885+1884+1884+1884+1885+1883+0+0
